Old_ID,New_geneID,gene_description,New_geneName
Milk02G1009.1,XNS02G1009.1,5-hydroxytryptamine receptor 1D [Source:HGNC Symbol;Acc:HGNC:5289],HTR1D(1of3)
Milk02G1010.1,XNS02G1010.1,5-hydroxytryptamine receptor 1D [Source:HGNC Symbol;Acc:HGNC:5289],HTR1D(2of3)
Milk02G1011.1,XNS02G1011.1,5-hydroxytryptamine receptor 1D [Source:HGNC Symbol;Acc:HGNC:5289],HTR1D(3of3)
Milk09G0311.1,XNS09G0311.1,5-hydroxytryptamine receptor 1E [Source:HGNC Symbol;Acc:HGNC:5291],HTR1E(1of2)
Milk09G0312.1,XNS09G0312.1,5-hydroxytryptamine receptor 1E [Source:HGNC Symbol;Acc:HGNC:5291],HTR1E(2of2)
Milk01G0135.1,XNS01G0135.1,5-hydroxytryptamine receptor 1F [Source:HGNC Symbol;Acc:HGNC:5292],HTR1F(1of2)
Milk01G0136.1,XNS01G0136.1,5-hydroxytryptamine receptor 1F [Source:HGNC Symbol;Acc:HGNC:5292],HTR1F(2of2)
Milk12G0073.1,XNS12G0073.1,5-hydroxytryptamine receptor 2A [Source:HGNC Symbol;Acc:HGNC:5293],HTR2A(1of4)
Milk12G0074.1,XNS12G0074.1,5-hydroxytryptamine receptor 2A [Source:HGNC Symbol;Acc:HGNC:5293],HTR2A(2of4)
Milk12G0075.1,XNS12G0075.1,5-hydroxytryptamine receptor 2A [Source:HGNC Symbol;Acc:HGNC:5293],HTR2A(3of4)
Milk12G0076.1,XNS12G0076.1,5-hydroxytryptamine receptor 2A [Source:HGNC Symbol;Acc:HGNC:5293],HTR2A(4of4)
Milk02G0767.1,XNS02G0767.1,5-hydroxytryptamine receptor 2B [Source:HGNC Symbol;Acc:HGNC:5294],HTR2B(1of2)
Milk02G0768.1,XNS02G0768.1,5-hydroxytryptamine receptor 2B [Source:HGNC Symbol;Acc:HGNC:5294],HTR2B(2of2)
Milk0G0293.1,XNS0G0293.1,5-hydroxytryptamine receptor 2C [Source:HGNC Symbol;Acc:HGNC:5295],HTR2C
Milk15G0856.1,XNS15G0856.1,5-hydroxytryptamine receptor 3A [Source:HGNC Symbol;Acc:HGNC:5297],HTR3A
Milk15G0857.1,XNS15G0857.1,5-hydroxytryptamine receptor 3B [Source:HGNC Symbol;Acc:HGNC:5298],HTR3B(1of2)
Milk15G0858.1,XNS15G0858.1,5-hydroxytryptamine receptor 3B [Source:HGNC Symbol;Acc:HGNC:5298],HTR3B(2of2)
Milk01G0474.1,XNS01G0474.1,5-hydroxytryptamine receptor 3C [Source:HGNC Symbol;Acc:HGNC:24003],HTR3C(1of2)
Milk01G0475.1,XNS01G0475.1,5-hydroxytryptamine receptor 3C [Source:HGNC Symbol;Acc:HGNC:24003],HTR3C(2of2)
Milk01G0473.1,XNS01G0473.1,5-hydroxytryptamine receptor 3E [Source:HGNC Symbol;Acc:HGNC:24005],HTR3E
Milk07G0274.1,XNS07G0274.1,5-hydroxytryptamine receptor 4 [Source:HGNC Symbol;Acc:HGNC:5299],HTR4
Milk02G0403.1,XNS02G0403.1,5-hydroxytryptamine receptor 5A [Source:HGNC Symbol;Acc:HGNC:5300],HTR5A(1of2)
Milk04G0922.1,XNS04G0922.1,5-hydroxytryptamine receptor 5A [Source:HGNC Symbol;Acc:HGNC:5300],HTR5A(2of2)
Milk02G1082.1,XNS02G1082.1,5-hydroxytryptamine receptor 6 [Source:HGNC Symbol;Acc:HGNC:5301],HTR6
Milk26G0503.1,XNS26G0503.1,5-hydroxytryptamine receptor 7 [Source:HGNC Symbol;Acc:HGNC:5302],HTR7
Milk28G0103.1,XNS28G0103.1,5-methyltetrahydrofolate-homocysteine methyltransferase [Source:HGNC Symbol;Acc:HGNC:7468],MTR
Milk20G0347.1,XNS20G0347.1,5-methyltetrahydrofolate-homocysteine methyltransferase reductase [Source:HGNC Symbol;Acc:HGNC:7473],MTRR
Milk14G0442.1,XNS14G0442.1,"5-oxoprolinase, ATP-hydrolysing [Source:HGNC Symbol;Acc:HGNC:8149]",OPLAH(1of2)
Milk14G0443.1,XNS14G0443.1,"5-oxoprolinase, ATP-hydrolysing [Source:HGNC Symbol;Acc:HGNC:8149]",OPLAH(2of2)
Milk07G0644.1,XNS07G0644.1,5-phosphohydroxy-L-lysine phospho-lyase [Source:HGNC Symbol;Acc:HGNC:28249],PHYKPL
Milk01G0712.1,XNS01G0712.1,5'-3' exoribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:30654],XRN1
Milk13G0278.1,XNS13G0278.1,5'-3' exoribonuclease 2 [Source:HGNC Symbol;Acc:HGNC:12836],XRN2
Milk22G0389.1,XNS22G0389.1,5'-aminolevulinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:396],ALAS1
Milk0G0834.1,XNS0G0834.1,5'-aminolevulinate synthase 2 [Source:HGNC Symbol;Acc:HGNC:397],ALAS2
Milk09G0140.1,XNS09G0140.1,5'-nucleotidase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21556],NT5DC1(1of2)
Milk09G0142.1,XNS09G0142.1,5'-nucleotidase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21556],NT5DC1(2of2)
Milk22G0373.1,XNS22G0373.1,5'-nucleotidase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25717],NT5DC2
Milk05G0804.1,XNS05G0804.1,5'-nucleotidase domain containing 3 [Source:HGNC Symbol;Acc:HGNC:30826],NT5DC3
Milk11G0440.1,XNS11G0440.1,5'-nucleotidase domain containing 4 [Source:HGNC Symbol;Acc:HGNC:27678],NT5DC4
Milk09G0317.1,XNS09G0317.1,5'-nucleotidase ecto [Source:HGNC Symbol;Acc:HGNC:8021],NT5E
Milk03G0313.1,XNS03G0313.1,"5'-nucleotidase, cytosolic IA [Source:HGNC Symbol;Acc:HGNC:17819]",NT5C1A
Milk11G0733.1,XNS11G0733.1,"5'-nucleotidase, cytosolic IB [Source:HGNC Symbol;Acc:HGNC:17818]",NT5C1B
Milk11G0441.1,XNS11G0441.1,"5'-nucleotidase, cytosolic II [Source:HGNC Symbol;Acc:HGNC:8022]",NT5C2(1of2)
Milk26G0317.1,XNS26G0317.1,"5'-nucleotidase, cytosolic II [Source:HGNC Symbol;Acc:HGNC:8022]",NT5C2(2of2)
Milk04G0359.1,XNS04G0359.1,"5'-nucleotidase, cytosolic IIIA [Source:HGNC Symbol;Acc:HGNC:17820]",NT5C3A(1of2)
Milk04G0362.1,XNS04G0362.1,"5'-nucleotidase, cytosolic IIIA [Source:HGNC Symbol;Acc:HGNC:17820]",NT5C3A(2of2)
Milk19G0574.1,XNS19G0574.1,"5'-nucleotidase, cytosolic IIIB [Source:HGNC Symbol;Acc:HGNC:28300]",NT5C3B
Milk19G0132.1,XNS19G0132.1,"5', 3'-nucleotidase, cytosolic [Source:HGNC Symbol;Acc:HGNC:17144]",NT5C
Milk19G0820.1,XNS19G0820.1,"5',3'-nucleotidase, mitochondrial [Source:HGNC Symbol;Acc:HGNC:15769]",NT5M
Milk0G0832.1,XNS0G0832.1,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:8872]",PFKFB1
Milk16G0108.1,XNS16G0108.1,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2 [Source:HGNC Symbol;Acc:HGNC:8873]",PFKFB2
Milk13G0057.1,XNS13G0057.1,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 [Source:HGNC Symbol;Acc:HGNC:8874]",PFKFB3(1of2)
Milk13G0058.1,XNS13G0058.1,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 [Source:HGNC Symbol;Acc:HGNC:8874]",PFKFB3(2of2)
Milk22G0511.1,XNS22G0511.1,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4 [Source:HGNC Symbol;Acc:HGNC:8875]",PFKFB4
Milk07G1338.1,XNS07G1338.1,6-phosphogluconolactonase [Source:HGNC Symbol;Acc:HGNC:8903],PGLS
Milk15G0876.1,XNS15G0876.1,6-pyruvoyltetrahydropterin synthase [Source:HGNC Symbol;Acc:HGNC:9689],PTS(1of2)
Milk16G0827.1,XNS16G0827.1,6-pyruvoyltetrahydropterin synthase [Source:HGNC Symbol;Acc:HGNC:9689],PTS(2of2)
Milk29G0671.1,XNS29G0671.1,7-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2860],DHCR7
Milk22G0195.1,XNS22G0195.1,8-oxoguanine DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:8125],OGG1
Milk24G0232.1,XNS24G0232.1,A-kinase anchor inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28285],AKAIN1
Milk19G1447.1,XNS19G1447.1,A-kinase anchoring protein 1 [Source:HGNC Symbol;Acc:HGNC:367],AKAP1
Milk19G0872.1,XNS19G0872.1,A-kinase anchoring protein 10 [Source:HGNC Symbol;Acc:HGNC:368],AKAP10
Milk12G0031.1,XNS12G0031.1,A-kinase anchoring protein 11 [Source:HGNC Symbol;Acc:HGNC:369],AKAP11
Milk09G0520.1,XNS09G0520.1,A-kinase anchoring protein 12 [Source:HGNC Symbol;Acc:HGNC:370],AKAP12(1of2)
Milk09G0521.1,XNS09G0521.1,A-kinase anchoring protein 12 [Source:HGNC Symbol;Acc:HGNC:370],AKAP12(2of2)
Milk21G0095.1,XNS21G0095.1,A-kinase anchoring protein 13 [Source:HGNC Symbol;Acc:HGNC:371],AKAP13(1of3)
Milk21G0097.1,XNS21G0097.1,A-kinase anchoring protein 13 [Source:HGNC Symbol;Acc:HGNC:371],AKAP13(2of3)
Milk21G0098.1,XNS21G0098.1,A-kinase anchoring protein 13 [Source:HGNC Symbol;Acc:HGNC:371],AKAP13(3of3)
Milk0G0265.1,XNS0G0265.1,A-kinase anchoring protein 14 [Source:HGNC Symbol;Acc:HGNC:24061],AKAP14
Milk0G0281.1,XNS0G0281.1,A-kinase anchoring protein 17A [Source:HGNC Symbol;Acc:HGNC:18783],AKAP17A(1of4)
Milk0G1121.1,XNS0G1121.1,A-kinase anchoring protein 17A [Source:HGNC Symbol;Acc:HGNC:18783],AKAP17A(2of4)
Milk0G1122.1,XNS0G1122.1,A-kinase anchoring protein 17A [Source:HGNC Symbol;Acc:HGNC:18783],AKAP17A(3of4)
Milk0G1123.1,XNS0G1123.1,A-kinase anchoring protein 17A [Source:HGNC Symbol;Acc:HGNC:18783],AKAP17A(4of4)
Milk05G0391.1,XNS05G0391.1,A-kinase anchoring protein 3 [Source:HGNC Symbol;Acc:HGNC:373],AKAP3
Milk0G0786.1,XNS0G0786.1,A-kinase anchoring protein 4 [Source:HGNC Symbol;Acc:HGNC:374],AKAP4
Milk21G0456.1,XNS21G0456.1,A-kinase anchoring protein 6 [Source:HGNC Symbol;Acc:HGNC:376],AKAP6(1of3)
Milk21G0457.1,XNS21G0457.1,A-kinase anchoring protein 6 [Source:HGNC Symbol;Acc:HGNC:376],AKAP6(2of3)
Milk21G0458.1,XNS21G0458.1,A-kinase anchoring protein 6 [Source:HGNC Symbol;Acc:HGNC:376],AKAP6(3of3)
Milk09G0346.1,XNS09G0346.1,A-kinase anchoring protein 7 [Source:HGNC Symbol;Acc:HGNC:377],AKAP7
Milk07G1256.1,XNS07G1256.1,A-kinase anchoring protein 8 [Source:HGNC Symbol;Acc:HGNC:378],AKAP8
Milk07G1258.1,XNS07G1258.1,A-kinase anchoring protein 8 like [Source:HGNC Symbol;Acc:HGNC:29857],AKAP8L
Milk04G0041.1,XNS04G0041.1,A-kinase anchoring protein 9 [Source:HGNC Symbol;Acc:HGNC:379],AKAP9
Milk15G0645.1,XNS15G0645.1,A-kinase interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:1170],AKIP1
Milk0G0716.1,XNS0G0716.1,"A-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:646]",ARAF(1of4)
Milk0G0717.1,XNS0G0717.1,"A-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:646]",ARAF(2of4)
Milk0G0718.1,XNS0G0718.1,"A-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:646]",ARAF(3of4)
Milk0G0719.1,XNS0G0719.1,"A-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:646]",ARAF(4of4)
Milk13G0775.1,XNS13G0775.1,AAR2 splicing factor [Source:HGNC Symbol;Acc:HGNC:15886],AAR2
Milk10G0081.1,XNS10G0081.1,aarF domain containing kinase 1 [Source:HGNC Symbol;Acc:HGNC:19038],ADCK1(1of2)
Milk10G0082.1,XNS10G0082.1,aarF domain containing kinase 1 [Source:HGNC Symbol;Acc:HGNC:19038],ADCK1(2of2)
Milk04G0691.1,XNS04G0691.1,aarF domain containing kinase 2 [Source:HGNC Symbol;Acc:HGNC:19039],ADCK2
Milk14G0418.1,XNS14G0418.1,aarF domain containing kinase 5 [Source:HGNC Symbol;Acc:HGNC:21738],ADCK5
Milk09G0385.1,XNS09G0385.1,Abelson helper integration site 1 [Source:HGNC Symbol;Acc:HGNC:21575],AHI1
Milk11G0653.1,XNS11G0653.1,abhydrolase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17553],ABHD1
Milk01G0229.1,XNS01G0229.1,"abhydrolase domain containing 10, depalmitoylase [Source:HGNC Symbol;Acc:HGNC:25656]",ABHD10
Milk25G0347.1,XNS25G0347.1,abhydrolase domain containing 11 [Source:HGNC Symbol;Acc:HGNC:16407],ABHD11
Milk13G0315.1,XNS13G0315.1,"abhydrolase domain containing 12, lysophospholipase [Source:HGNC Symbol;Acc:HGNC:15868]",ABHD12(1of2)
Milk13G0316.1,XNS13G0316.1,"abhydrolase domain containing 12, lysophospholipase [Source:HGNC Symbol;Acc:HGNC:15868]",ABHD12(2of2)
Milk10G0527.1,XNS10G0527.1,abhydrolase domain containing 12B [Source:HGNC Symbol;Acc:HGNC:19837],ABHD12B
Milk12G0487.1,XNS12G0487.1,abhydrolase domain containing 13 [Source:HGNC Symbol;Acc:HGNC:20293],ABHD13
Milk22G0397.1,XNS22G0397.1,abhydrolase domain containing 14B [Source:HGNC Symbol;Acc:HGNC:28235],ABHD14B
Milk19G1223.1,XNS19G1223.1,abhydrolase domain containing 15 [Source:HGNC Symbol;Acc:HGNC:26971],ABHD15
Milk23G0471.1,XNS23G0471.1,"abhydrolase domain containing 16A, phospholipase [Source:HGNC Symbol;Acc:HGNC:13921]",ABHD16A
Milk13G0479.1,XNS13G0479.1,abhydrolase domain containing 16B [Source:HGNC Symbol;Acc:HGNC:16128],ABHD16B
Milk07G0486.1,XNS07G0486.1,"abhydrolase domain containing 17A, depalmitoylase [Source:HGNC Symbol;Acc:HGNC:28756]",ABHD17A
Milk08G0612.1,XNS08G0612.1,"abhydrolase domain containing 17B, depalmitoylase [Source:HGNC Symbol;Acc:HGNC:24278]",ABHD17B
Milk21G0281.1,XNS21G0281.1,"abhydrolase domain containing 17C, depalmitoylase [Source:HGNC Symbol;Acc:HGNC:26925]",ABHD17C(1of2)
Milk21G0282.1,XNS21G0282.1,"abhydrolase domain containing 17C, depalmitoylase [Source:HGNC Symbol;Acc:HGNC:26925]",ABHD17C(2of2)
Milk12G0168.1,XNS12G0168.1,abhydrolase domain containing 18 [Source:HGNC Symbol;Acc:HGNC:26111],ABHD18(1of6)
